"INDICATOR","H2020_5"

"H2020_5","Per capita alcohol consumption among people aged 15+ within a calendar year (liters of pure alcohol)"

"UNIT_TYPE","Unit"
"LITRES_PCAPITA","litres per capita"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"H2020","Indicators for Health 2020"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"H2020","Indicators for monitoring Health 2020 policy targets (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"COUNTRY","COUNTRY_GRP","YEAR","VALUE"
"ALB","","1962","1.17"
"ALB","","1963","0.91"
"ALB","","1964","1.04"
"ALB","","1965","1.04"
"ALB","","1966","1.03"
"ALB","","1967","1.17"
"ALB","","1968","1.44"
"ALB","","1969","1.73"
"ALB","","1970","1.77"
"ALB","","1971","1.2"
"ALB","","1972","1.56"
"ALB","","1973","1.59"
"ALB","","1974","1.58"
"ALB","","1975","1.35"
"ALB","","1976","1.33"
"ALB","","1977","1.37"
"ALB","","1978","1.65"
"ALB","","1979","1.4"
"ALB","","1980","1.79"
"ALB","","1981","1.84"
"ALB","","1982","1.51"
"ALB","","1983","1.68"
"ALB","","1984","1.58"
"ALB","","1985","1.6"
"ALB","","1986","1.39"
"ALB","","1987","1.63"
"ALB","","1988","1.67"
"ALB","","1989","1.73"
"ALB","","1990","2.03"
"ALB","","1991","1.28"
"ALB","","1992","1.35"
"ALB","","1993","1.49"
"ALB","","1994","2.77"
"ALB","","1995","2.87"
"ALB","","1996","3.12"
"ALB","","1997","2.22"
"ALB","","1998","1.54"
"ALB","","1999","2.19"
"ALB","","2000","3.98"
"ALB","","2001","4.71"
"ALB","","2002","4.01"
"ALB","","2003","4.43"
"ALB","","2004","4.67"
"ALB","","2005","5.3"
"ALB","","2006","5.46"
"ALB","","2007","5.76"
"ALB","","2008","5.82"
"ALB","","2009","6.04"
"ALB","","2010","5.53"
"ALB","","2011","5.65"
"ALB","","2012","5.43"
"ALB","","2013","5.06"
"ALB","","2014","4.81"
"ALB","","2015","4.77"
"ALB","","2016","5.07"
"AND","","2000","11.96"
"AND","","2001","12.03"
"AND","","2002","11.53"
"AND","","2003","10.97"
"AND","","2004","10.8"
"AND","","2005","11.96"
"AND","","2006","12.03"
"AND","","2007","11.53"
"AND","","2008","10.97"
"AND","","2009","10.8"
"AND","","2010","10.64"
"AND","","2011","10.31"
"AND","","2012","10.06"
"AND","","2013","9.78"
"AND","","2014","9.95"
"AND","","2015","9.97"
"AND","","2016","10.06"
"ARM","","1990","3.18"
"ARM","","1991","2.98"
"ARM","","1992","2.52"
"ARM","","1993","2.71"
"ARM","","1994","4.34"
"ARM","","1995","2.98"
"ARM","","1996","2.92"
"ARM","","1997","2.84"
"ARM","","1998","1.9"
"ARM","","1999","2.16"
"ARM","","2000","2.98"
"ARM","","2001","2.96"
"ARM","","2002","2.93"
"ARM","","2003","3.03"
"ARM","","2004","3.81"
"ARM","","2005","4.25"
"ARM","","2006","4.01"
"ARM","","2007","4"
"ARM","","2008","3.96"
"ARM","","2009","3.97"
"ARM","","2010","4.23"
"ARM","","2011","4.06"
"ARM","","2012","3.84"
"ARM","","2013","3.72"
"ARM","","2014","3.97"
"ARM","","2015","3.84"
"ARM","","2016","3.77"
"AUT","","1960","8.91"
"AUT","","1961","9.31"
"AUT","","1962","9.7"
"AUT","","1963","9.8"
"AUT","","1964","10.7"
"AUT","","1965","11.6"
"AUT","","1966","12.4"
"AUT","","1967","13.1"
"AUT","","1968","13.2"
"AUT","","1969","13"
"AUT","","1970","13.4"
"AUT","","1971","13.6"
"AUT","","1972","14.2"
"AUT","","1973","14.6"
"AUT","","1974","14.5"
"AUT","","1975","14.1"
"AUT","","1976","14.3"
"AUT","","1977","14.2"
"AUT","","1978","14"
"AUT","","1979","13.4"
"AUT","","1980","13.6"
"AUT","","1981","13.5"
"AUT","","1982","13.5"
"AUT","","1983","14"
"AUT","","1984","13.9"
"AUT","","1985","13.3"
"AUT","","1986","13.6"
"AUT","","1987","13.5"
"AUT","","1988","13.7"
"AUT","","1989","13.9"
"AUT","","1990","13.9"
"AUT","","1991","14.1"
"AUT","","1992","13.6"
"AUT","","1993","13.5"
"AUT","","1994","12.5"
"AUT","","1995","13.4"
"AUT","","1996","13.5"
"AUT","","1997","12.9"
"AUT","","1998","12.9"
"AUT","","1999","12.8"
"AUT","","2000","13.2"
"AUT","","2001","12.4"
