"INDICATOR","H2020_29"

"H2020_29","Private household out-of-pocket expenditure as a proportion of total health expenditure (%)"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"H2020","Indicators for Health 2020"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"H2020","Indicators for monitoring Health 2020 policy targets (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"COUNTRY","COUNTRY_GRP","YEAR","VALUE"
"ALB","","1995","74.03389519"
"ALB","","1996","76.45072572"
"ALB","","1997","73.18078438"
"ALB","","1998","69.76021656"
"ALB","","1999","63.38369617"
"ALB","","2000","63.81917269"
"ALB","","2001","61.6885918"
"ALB","","2002","64.07475438"
"ALB","","2003","60.44117915"
"ALB","","2004","53.81305611"
"ALB","","2005","52.30130855"
"ALB","","2006","51.82090219"
"ALB","","2007","52.48919192"
"ALB","","2008","51.67033199"
"ALB","","2009","50.914223"
"ALB","","2010","53.4075251"
"ALB","","2011","49.98561064"
"ALB","","2012","50.89410431"
"ALB","","2013","49.69555747"
"ALB","","2014","49.93165101"
"AND","","1995","22.44228194"
"AND","","1996","21.21965649"
"AND","","1997","20.96156389"
"AND","","1998","16.48144539"
"AND","","1999","22.28164613"
"AND","","2000","22.08389248"
"AND","","2001","21.875"
"AND","","2002","22.01834862"
"AND","","2003","22.34446814"
"AND","","2004","22.62750723"
"AND","","2005","24.59432925"
"AND","","2006","24.0041788"
"AND","","2007","20.03340565"
"AND","","2008","19.25077264"
"AND","","2009","18.48650001"
"AND","","2010","15.94008813"
"AND","","2011","19.23975305"
"AND","","2012","17.30853731"
"AND","","2013","11.28880166"
"AND","","2014","15.94330347"
"ARM","","1995","66.23138507"
"ARM","","1996","69.367376"
"ARM","","1997","71.79346678"
"ARM","","1998","67.77170205"
"ARM","","1999","67.27838222"
"ARM","","2000","77.34854937"
"ARM","","2001","69.77567742"
"ARM","","2002","68.75067995"
"ARM","","2003","69.13352046"
"ARM","","2004","71.34811044"
"ARM","","2005","61.6467504"
"ARM","","2006","52.65454715"
"ARM","","2007","49.45282889"
"ARM","","2008","51.3983681"
"ARM","","2009","53.07837424"
"ARM","","2010","55.87217495"
"ARM","","2011","47.04559015"
"ARM","","2012","54.56981392"
"ARM","","2013","53.69198311"
"ARM","","2014","53.51333862"
"AUT","","1995","15.15492477"
"AUT","","1996","15.532623"
"AUT","","1997","15.37829824"
"AUT","","1998","15.33914562"
"AUT","","1999","14.95041597"
"AUT","","2000","15.06531876"
"AUT","","2001","15.87077044"
"AUT","","2002","15.83333253"
"AUT","","2003","16.03454022"
"AUT","","2004","17.47871847"
"AUT","","2005","17.42251015"
"AUT","","2006","17.1908636"
"AUT","","2007","17.0919357"
"AUT","","2008","16.39441429"
"AUT","","2009","16.33451841"
"AUT","","2010","16.58055264"
"AUT","","2011","16.6803314"
"AUT","","2012","16.34461812"
"AUT","","2013","16.23914267"
"AUT","","2014","16.14891707"
"AZE","","1995","66.35833854"
"AZE","","1996","65.13845741"
"AZE","","1997","62.16988181"
"AZE","","1998","67.23824988"
"AZE","","1999","64.77207763"
"AZE","","2000","63.26662402"
"AZE","","2001","63.2180006"
"AZE","","2002","65.2668574"
"AZE","","2003","77.35400465"
"AZE","","2004","78.99833673"
"AZE","","2005","82.3585563"
"AZE","","2006","78.43178294"
"AZE","","2007","72.56401639"
"AZE","","2008","71.74716482"
"AZE","","2009","68.50153612"
"AZE","","2010","69.18461184"
"AZE","","2011","69.8291745"
"AZE","","2012","69.02266594"
"AZE","","2013","71.06431526"
"AZE","","2014","72.08213855"
"BEL","","1995","19.58801971"
"BEL","","1996","18.86645963"
"BEL","","1997","21.13372093"
"BEL","","1998","21.18756202"
"BEL","","1999","20.85622473"
"BEL","","2000","20.54320265"
"BEL","","2001","19.71406025"
"BEL","","2002","21.34183898"
"BEL","","2003","20.30706621"
"BEL","","2004","18.18641129"
"BEL","","2005","17.59833334"
"BEL","","2006","18.65635013"
"BEL","","2007","19.40393495"
"BEL","","2008","18.47065778"
"BEL","","2009","18.19796128"
"BEL","","2010","17.92776152"
"BEL","","2011","18.72909433"
"BEL","","2012","17.7838958"
"BEL","","2013","17.85284556"
"BEL","","2014","17.80520538"
"BGR","","1995","26.03997136"
"BGR","","1996","30.39957197"
"BGR","","1997","28.33654406"
"BGR","","1998","30.10369976"
"BGR","","1999","33.67304779"
"BGR","","2000","39.06844768"
"BGR","","2001","41.58238661"
"BGR","","2002","38.14640271"
"BGR","","2003","36.9811423"
"BGR","","2004","38.21663683"
"BGR","","2005","37.88651542"
"BGR","","2006","41.79301241"
"BGR","","2007","40.60199331"
"BGR","","2008","40.37220954"
"BGR","","2009","43.3734603"
"BGR","","2010","42.8835946"
"BGR","","2011","43.91307422"
"BGR","","2012","42.52249135"
"BGR","","2013","46.7954828"
"BGR","","2014","44.19239756"
"BIH","","1995","62.89560226"
"BIH","","1996","53.01222133"
"BIH","","1997","56.94693063"
"BIH","","1998","59.14154128"
"BIH","","1999","46.90349183"
"BIH","","2000","43.11597207"
"BIH","","2001","39.77130401"
"BIH","","2002","36.91520235"
"BIH","","2003","31.00785812"
"BIH","","2004","42.79689749"
"BIH","","2005","42.72698732"
"BIH","","2006","39.87915688"
"BIH","","2007","36.27032906"
"BIH","","2008","32.26606773"
"BIH","","2009","28.63218526"
"BIH","","2010","28.29815629"
"BIH","","2011","27.81357051"
"BIH","","2012","27.80850541"
"BIH","","2013","29.03943643"
"BIH","","2014","27.92931604"
"BLR","","1995","18.62671654"
"BLR","","1996","14.76966084"
"BLR","","1997","8.79902545"
"BLR","","1998","13.39451554"
"BLR","","1999","13.2035853"
"BLR","","2000","14.00511964"
"BLR","","2001","18.28277532"
"BLR","","2002","20.48864554"
"BLR","","2003","18.21645428"
"BLR","","2004","17.25857361"
"BLR","","2005","19.85772162"
"BLR","","2006","22.18169704"
"BLR","","2007","23.58406027"
"BLR","","2008","27.45349987"
"BLR","","2009","26.90194999"
"BLR","","2010","19.84725037"
"BLR","","2011","26.64299702"
"BLR","","2012","19.46230723"
"BLR","","2013","30.69080793"
"BLR","","2014","32.03152429"
"","CARINFONET","1995","43.62"
"","CARINFONET","1996","44"
"","CARINFONET","1997","44.88"
"","CARINFONET","1998","47.86"
"","CARINFONET","1999","50.34"
"","CARINFONET","2000","51.29"
"","CARINFONET","2001","50.29"
"","CARINFONET","2002","53.01"
"","CARINFONET","2003","52.49"
"","CARINFONET","2004","51.93"
"","CARINFONET","2005","50.97"
"","CARINFONET","2006","50.39"
"","CARINFONET","2007","52.49"
"","CARINFONET","2008","50.57"
"","CARINFONET","2009","48.71"
"","CARINFONET","2010","46.13"
"","CARINFONET","2011","45.58"
"","CARINFONET","2012","46.58"
"","CARINFONET","2013","47.33"
"","CARINFONET","2014","45.34"
"CHE","","1995","33.09738461"
"CHE","","1996","31.49545459"
"CHE","","1997","32.40647025"
"CHE","","1998","32.87349088"
"CHE","","1999","33.37612351"
"CHE","","2000","32.97535484"
"CHE","","2001","31.7895641"
"CHE","","2002","31.56169675"
"CHE","","2003","31.62420696"
"CHE","","2004","31.86128796"
"CHE","","2005","30.63059349"
"CHE","","2006","30.79313205"
"CHE","","2007","30.72587141"
"CHE","","2008","24.83545812"
"CHE","","2009","24.6650369"
"CHE","","2010","26.37593516"
"CHE","","2011","26.40890663"
"CHE","","2012","27.23865646"
"CHE","","2013","25.76736717"
"CHE","","2014","26.8"
"","CIS","1995","25.63"
"","CIS","1996","26.63"
"","CIS","1997","28.19"
"","CIS","1998","33.17"
"","CIS","1999","36.67"
"","CIS","2000","37.92"
"","CIS","2001","37.75"
"","CIS","2002","38.37"
"","CIS","2003","39.31"
"","CIS","2004","39.45"
"","CIS","2005","38.26"
"","CIS","2006","37.16"
"","CIS","2007","37.11"
"","CIS","2008","42.83"
"","CIS","2009","43.68"
"","CIS","2010","43.69"
"","CIS","2011","44.22"
"","CIS","2012","43.65"
"","CIS","2013","45.89"
"","CIS","2014","46.21"
"CYP","","1995","63.26971407"
"CYP","","1996","64.86436472"
"CYP","","1997","63.60166366"
"CYP","","1998","57.05375089"
"CYP","","1999","54.55891664"
"CYP","","2000","55.86018313"
"CYP","","2001","55.18530202"
"CYP","","2002","52.76921708"
"CYP","","2003","43.42542521"
"CYP","","2004","46.4894075"
"CYP","","2005","47.03737765"
"CYP","","2006","46.62598625"
"CYP","","2007","47.78289904"
"CYP","","2008","49.69585547"
"CYP","","2009","48.3190785"
"CYP","","2010","45.36701124"
"CYP","","2011","44.84164266"
"CYP","","2012","47.0366049"
"CYP","","2013","46.97137834"
"CYP","","2014","48.71378501"
"CZE","","1995","9.11127562"
"CZE","","1996","9.33247151"
"CZE","","1997","9.71447516"
"CZE","","1998","9.56973238"
"CZE","","1999","9.51846966"
"CZE","","2000","9.68087582"
"CZE","","2001","10.23459766"
"CZE","","2002","9.52643707"
"CZE","","2003","9.96135488"
"CZE","","2004","10.35228493"
"CZE","","2005","10.69599409"
"CZE","","2006","11.29435355"
"CZE","","2007","13.18240522"
"CZE","","2008","15.73360876"
"CZE","","2009","14.6286967"
"CZE","","2010","14.86045211"
"CZE","","2011","14.74046196"
"CZE","","2012","15.03126691"
"CZE","","2013","14.52955882"
"CZE","","2014","14.32592339"
"DEU","","1995","9.96458605"
"DEU","","1996","9.85056466"
"DEU","","1997","10.62905179"
"DEU","","1998","11.18248291"
"DEU","","1999","11.30688746"
"DEU","","2000","11.82803242"
"DEU","","2001","11.8042504"
"DEU","","2002","12.12069776"
"DEU","","2003","12.50132596"
"DEU","","2004","13.89994182"
"DEU","","2005","13.99497508"
"DEU","","2006","14.12039469"
"DEU","","2007","14.05746179"
"DEU","","2008","13.78179605"
"DEU","","2009","13.56112236"
"DEU","","2010","13.75453415"
"DEU","","2011","13.77954488"
"DEU","","2012","13.83432625"
"DEU","","2013","13.19588873"
"DEU","","2014","13.19748255"
"DNK","","1995","16.29748554"
"DNK","","1996","16.23188076"
"DNK","","1997","16.3280654"
"DNK","","1998","16.35196932"
"DNK","","1999","14.59549011"
"DNK","","2000","14.67089541"
"DNK","","2001","14.41053783"
"DNK","","2002","14.10908864"
"DNK","","2003","13.98079536"
"DNK","","2004","14.22126034"
"DNK","","2005","14.04706864"
"DNK","","2006","13.83675763"
"DNK","","2007","13.94593381"
"DNK","","2008","13.54999888"
"DNK","","2009","13.17150816"
"DNK","","2010","13.19381069"
"DNK","","2011","12.8189654"
"DNK","","2012","12.43924238"
"DNK","","2013","12.89193693"
"DNK","","2014","13.35969348"
"ESP","","1995","23.53770013"
"ESP","","1996","23.18998853"
"ESP","","1997","23.09766447"
"ESP","","1998","23.24590372"
"ESP","","1999","23.30412854"
"ESP","","2000","23.57635669"
"ESP","","2001","23.93351525"
"ESP","","2002","23.71525243"
"ESP","","2003","21.83577314"
"ESP","","2004","21.65226152"
"ESP","","2005","21.25018547"
"ESP","","2006","20.49009855"
"ESP","","2007","20.2329107"
"ESP","","2008","20.30083923"
"ESP","","2009","18.96784682"
"ESP","","2010","20.23728999"
"ESP","","2011","20.70824869"
"ESP","","2012","22.54342858"
"ESP","","2013","23.47421451"
"ESP","","2014","23.99499858"
"EST","","1995","10.2347411"
"EST","","1996","11.49237895"
"EST","","1997","10.60279176"
"EST","","1998","13.18869736"
"EST","","1999","14.11440026"
"EST","","2000","19.92527255"
"EST","","2001","18.98971996"
"EST","","2002","20.07111394"
"EST","","2003","20.41099925"
"EST","","2004","21.31595772"
"EST","","2005","20.41864681"
"EST","","2006","25.0915083"
"EST","","2007","21.90616211"
"EST","","2008","19.6564641"
"EST","","2009","20.31519888"
"EST","","2010","18.56931869"
"EST","","2011","17.55716512"
"EST","","2012","19.14758208"
"EST","","2013","20.26021131"
"EST","","2014","20.71983229"
"","EU_AFTER_MAY2004","1995","22.36"
"","EU_AFTER_MAY2004","1996","23.33"
"","EU_AFTER_MAY2004","1997","22.41"
"","EU_AFTER_MAY2004","1998","25.72"
"","EU_AFTER_MAY2004","1999","23.54"
"","EU_AFTER_MAY2004","2000","24.39"
"","EU_AFTER_MAY2004","2001","24.14"
"","EU_AFTER_MAY2004","2002","22.67"
"","EU_AFTER_MAY2004","2003","22.16"
"","EU_AFTER_MAY2004","2004","25.32"
"","EU_AFTER_MAY2004","2005","23.46"
"","EU_AFTER_MAY2004","2006","23.79"
"","EU_AFTER_MAY2004","2007","23.09"
"","EU_AFTER_MAY2004","2008","22.75"
"","EU_AFTER_MAY2004","2009","23.33"
"","EU_AFTER_MAY2004","2010","22.7"
"","EU_AFTER_MAY2004","2011","22.99"
"","EU_AFTER_MAY2004","2012","23.09"
"","EU_AFTER_MAY2004","2013","23.42"
"","EU_AFTER_MAY2004","2014","23.26"
"","EU_BEFORE_MAY2004","1995","15.85"
"","EU_BEFORE_MAY2004","1996","15.61"
"","EU_BEFORE_MAY2004","1997","15.92"
"","EU_BEFORE_MAY2004","1998","16.15"
"","EU_BEFORE_MAY2004","1999","16.06"
"","EU_BEFORE_MAY2004","2000","15.66"
"","EU_BEFORE_MAY2004","2001","15.35"
"","EU_BEFORE_MAY2004","2002","15.35"
"","EU_BEFORE_MAY2004","2003","15.2"
"","EU_BEFORE_MAY2004","2004","15.19"
"","EU_BEFORE_MAY2004","2005","14.91"
"","EU_BEFORE_MAY2004","2006","14.86"
"","EU_BEFORE_MAY2004","2007","14.93"
"","EU_BEFORE_MAY2004","2008","14.81"
"","EU_BEFORE_MAY2004","2009","14.1"
"","EU_BEFORE_MAY2004","2010","14.42"
"","EU_BEFORE_MAY2004","2011","14.48"
"","EU_BEFORE_MAY2004","2012","14.7"
"","EU_BEFORE_MAY2004","2013","14.66"
"","EU_BEFORE_MAY2004","2014","14.93"
"","EU_MEMBERS","1995","17.35"
"","EU_MEMBERS","1996","17.38"
"","EU_MEMBERS","1997","17.4"
"","EU_MEMBERS","1998","18.33"
"","EU_MEMBERS","1999","17.76"
"","EU_MEMBERS","2000","17.63"
"","EU_MEMBERS","2001","17.32"
"","EU_MEMBERS","2002","16.97"
"","EU_MEMBERS","2003","16.74"
"","EU_MEMBERS","2004","17.41"
"","EU_MEMBERS","2005","16.77"
"","EU_MEMBERS","2006","16.79"
"","EU_MEMBERS","2007","16.69"
"","EU_MEMBERS","2008","16.51"
"","EU_MEMBERS","2009","16.07"
"","EU_MEMBERS","2010","16.18"
"","EU_MEMBERS","2011","16.29"
"","EU_MEMBERS","2012","16.47"
"","EU_MEMBERS","2013","16.52"
"","EU_MEMBERS","2014","16.67"
"FIN","","1995","22.64997205"
"FIN","","1996","22.65846387"
"FIN","","1997","22.1502868"
"FIN","","1998","21.6187303"
"FIN","","1999","22.37070557"
"FIN","","2000","22.31559741"
"FIN","","2001","21.78906645"
"FIN","","2002","21.27100374"
"FIN","","2003","20.89553722"
"FIN","","2004","20.50393871"
"FIN","","2005","20.0673858"
"FIN","","2006","18.99127217"
"FIN","","2007","19.18301504"
"FIN","","2008","18.92790495"
"FIN","","2009","18.7224474"
"FIN","","2010","19.31358697"
"FIN","","2011","18.81207016"
"FIN","","2012","18.0447844"
"FIN","","2013","18.19029764"
"FIN","","2014","18.23218997"
"FRA","","1995","7.60353928"
"FRA","","1996","7.32264774"
"FRA","","1997","7.19134442"
"FRA","","1998","7.11503757"
"FRA","","1999","7.16359035"
"FRA","","2000","7.09980215"
"FRA","","2001","7.17126703"
"FRA","","2002","6.97136791"
"FRA","","2003","7.10273445"
"FRA","","2004","6.96388343"
"FRA","","2005","7.07693125"
"FRA","","2006","7.41895535"
"FRA","","2007","7.32917047"
"FRA","","2008","7.62025852"
"FRA","","2009","7.49924273"
"FRA","","2010","7.45241264"
"FRA","","2011","6.69237064"
"FRA","","2012","6.50667486"
"FRA","","2013","6.34791351"
"FRA","","2014","6.33740784"
"GBR","","1995","10.90723955"
"GBR","","1996","10.991907"
"GBR","","1997","11.74768467"
"GBR","","1998","11.75345424"
"GBR","","1999","11.41181091"
"GBR","","2000","10.98758032"
"GBR","","2001","10.81347038"
"GBR","","2002","10.81361922"
"GBR","","2003","10.99335153"
"GBR","","2004","9.95740429"
"GBR","","2005","9.48841177"
"GBR","","2006","9.85372111"
"GBR","","2007","10.01233083"
"GBR","","2008","8.97803292"
"GBR","","2009","8.85464539"
"GBR","","2010","9.613628"
"GBR","","2011","9.30195263"
"GBR","","2012","9.46365363"
"GBR","","2013","9.54514754"
"GBR","","2014","9.73311031"
"GEO","","1995","94.78465883"
"GEO","","1996","88.32973618"
"GEO","","1997","81.28027804"
"GEO","","1998","81.64807019"
"GEO","","1999","81.73887964"
"GEO","","2000","82.50978649"
"GEO","","2001","72.27094391"
"GEO","","2002","71.18585654"
"GEO","","2003","77.06336687"
"GEO","","2004","77.398272"
"GEO","","2005","76.82580161"
"GEO","","2006","72.22067382"
"GEO","","2007","70.79521373"
"GEO","","2008","64.23507265"
"GEO","","2009","66.549337"
"GEO","","2010","69.11270983"
"GEO","","2011","64.88616462"
"GEO","","2012","62.4077378"
"GEO","","2013","61.04743794"
"GEO","","2014","58.57930065"
"GRC","","1995","43.44773791"
"GRC","","1996","42.2003089"
"GRC","","1997","42.26164562"
"GRC","","1998","42.74470232"
"GRC","","1999","41.25655413"
"GRC","","2000","34.36394114"
"GRC","","2001","32.40245132"
"GRC","","2002","35.01754386"
"GRC","","2003","34.25102266"
"GRC","","2004","35.2173102"
"GRC","","2005","34.82736436"
"GRC","","2006","32.87442226"
"GRC","","2007","34.55944823"
"GRC","","2008","37.86383856"
"GRC","","2009","28.43020098"
"GRC","","2010","29.36366091"
"GRC","","2011","28.71237139"
"GRC","","2012","28.83574115"
"GRC","","2013","30.66843974"
"GRC","","2014","34.86415963"
"HRV","","1995","13.54245836"
"HRV","","1996","12.42189279"
"HRV","","1997","15.52261981"
"HRV","","1998","12.96237682"
"HRV","","1999","12.65910702"
"HRV","","2000","13.86125003"
"HRV","","2001","14.3898941"
"HRV","","2002","18.63236522"
"HRV","","2003","16.68338923"
"HRV","","2004","18.16787236"
"HRV","","2005","13.4056938"
"HRV","","2006","13.36083238"
"HRV","","2007","12.44538213"
"HRV","","2008","14.51444983"
"HRV","","2009","13.72681325"
"HRV","","2010","13.75707378"
"HRV","","2011","12.06291256"
"HRV","","2012","11.47205278"
"HRV","","2013","11.25232319"
"HRV","","2014","11.20611835"
"HUN","","1995","16.03908484"
"HUN","","1996","18.39613137"
"HUN","","1997","18.71630728"
"HUN","","1998","22.304092"
"HUN","","1999","24.85232239"
"HUN","","2000","26.27133168"
"HUN","","2001","27.69272547"
"HUN","","2002","26.27908176"
"HUN","","2003","25.49872166"
"HUN","","2004","24.90780698"
"HUN","","2005","24.9957944"
"HUN","","2006","24.22291575"
"HUN","","2007","25.39303879"
"HUN","","2008","25.69264195"
"HUN","","2009","25.34828864"
"HUN","","2010","26.42915829"
"HUN","","2011","27.3123175"
"HUN","","2012","28.48163162"
"HUN","","2013","27.33227544"
"HUN","","2014","26.59021511"
"IRL","","1995","15.34005666"
"IRL","","1996","15.5308765"
"IRL","","1997","15.26562922"
"IRL","","1998","14.40290856"
"IRL","","1999","15.00354334"
"IRL","","2000","15.74406767"
