COUNTRY,COUNTRY_GRP,YEAR,VALUE
ALB,,1975,6.5
ALB,,1976,6.7
ALB,,1977,6.8
ALB,,1978,7
ALB,,1979,7.2
ALB,,1980,7.4
ALB,,1981,7.6
ALB,,1982,7.8
ALB,,1983,8
ALB,,1984,8.3
ALB,,1985,8.5
ALB,,1986,8.7
ALB,,1987,9
ALB,,1988,9.3
ALB,,1989,9.5
ALB,,1990,9.8
ALB,,1991,10.1
ALB,,1992,10.4
ALB,,1993,10.7
ALB,,1994,11
ALB,,1995,11.3
ALB,,1996,11.7
ALB,,1997,12
ALB,,1998,12.4
ALB,,1999,12.8
ALB,,2000,13.2
ALB,,2001,13.6
ALB,,2002,14
ALB,,2003,14.5
ALB,,2004,14.9
ALB,,2005,15.4
ALB,,2006,16
ALB,,2007,16.5
ALB,,2008,17
ALB,,2009,17.6
ALB,,2010,18.2
ALB,,2011,18.8
ALB,,2012,19.3
ALB,,2013,19.9
ALB,,2014,20.5
ALB,,2015,21.1
ALB,,2016,21.7
AND,,1975,12.9
AND,,1976,13.5
AND,,1977,14
AND,,1978,14.5
AND,,1979,15
AND,,1980,15.5
AND,,1981,16
AND,,1982,16.5
AND,,1983,16.9
AND,,1984,17.4
AND,,1985,17.8
AND,,1986,18.2
AND,,1987,18.6
AND,,1988,19
AND,,1989,19.3
AND,,1990,19.6
AND,,1991,19.9
AND,,1992,20.2
AND,,1993,20.4
AND,,1994,20.7
AND,,1995,21
AND,,1996,21.2
AND,,1997,21.5
AND,,1998,21.7
AND,,1999,22
AND,,2000,22.2
AND,,2001,22.5
AND,,2002,22.7
AND,,2003,22.9
AND,,2004,23.2
AND,,2005,23.4
AND,,2006,23.6
AND,,2007,23.8
AND,,2008,24
AND,,2009,24.2
AND,,2010,24.4
AND,,2011,24.6
AND,,2012,24.8
AND,,2013,25
AND,,2014,25.2
AND,,2015,25.4
AND,,2016,25.6
ARM,,1975,7.3
ARM,,1976,7.6
ARM,,1977,7.9
ARM,,1978,8.1
ARM,,1979,8.4
ARM,,1980,8.7
ARM,,1981,9
ARM,,1982,9.3
ARM,,1983,9.5
ARM,,1984,9.8
ARM,,1985,10.1
ARM,,1986,10.3
ARM,,1987,10.6
ARM,,1988,10.9
ARM,,1989,11.2
ARM,,1990,11.4
ARM,,1991,11.7
ARM,,1992,12
ARM,,1993,12.3
ARM,,1994,12.5
ARM,,1995,12.8
ARM,,1996,13.1
ARM,,1997,13.3
ARM,,1998,13.6
ARM,,1999,13.9
ARM,,2000,14.2
ARM,,2001,14.4
ARM,,2002,14.7
ARM,,2003,15
ARM,,2004,15.4
ARM,,2005,15.7
ARM,,2006,16
ARM,,2007,16.4
ARM,,2008,16.7
ARM,,2009,17.1
ARM,,2010,17.5
ARM,,2011,17.9
ARM,,2012,18.3
ARM,,2013,18.8
ARM,,2014,19.2
ARM,,2015,19.7
ARM,,2016,20.2
AUT,,1975,7.2
AUT,,1976,7.3
AUT,,1977,7.5
AUT,,1978,7.7
AUT,,1979,7.9
AUT,,1980,8.1
AUT,,1981,8.3
AUT,,1982,8.6
AUT,,1983,8.8
AUT,,1984,9
AUT,,1985,9.3
AUT,,1986,9.6
AUT,,1987,9.8
